Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,1,MIBR,4.2k,0.2k,Eco: 0-5k,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,1,Leviatán,4.0k,0.2k,Eco: 0-5k,Loss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,2,MIBR,18.5k,3.7k,Semi-buy: 10-20k,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,2,Leviatán,1.5k,8.6k,Eco: 0-5k,Loss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,3,MIBR,20.6k,17.4k,Full buy: 20k+,Loss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,3,Leviatán,20.4k,0.3k,Full buy: 20k+,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,4,MIBR,22.9k,6.7k,Full buy: 20k+,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,4,Leviatán,18.7k,2.0k,Semi-buy: 10-20k,Loss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,5,MIBR,23.4k,7.9k,Full buy: 20k+,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,5,Leviatán,4.3k,9.0k,Eco: 0-5k,Loss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,6,MIBR,21.5k,17.9k,Full buy: 20k+,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,6,Leviatán,21.5k,0.5k,Full buy: 20k+,Loss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,7,MIBR,23.6k,13.8k,Full buy: 20k+,Loss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,7,Leviatán,9.5k,7.4k,Semi-eco: 5-10k,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,8,MIBR,22.7k,3.0k,Full buy: 20k+,Loss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,8,Leviatán,22.1k,15.3k,Full buy: 20k+,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,9,MIBR,12.1k,6.9k,Semi-buy: 10-20k,Loss
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,9,Leviatán,24.6k,18.6k,Full buy: 20k+,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,10,MIBR,20.1k,3.3k,Full buy: 20k+,Win
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,10,Leviatán,24.4k,18.9k,Full buy: 20k+,Loss
